[816, 1218]
[832, 1202]
[832, 1202]
[822, 1212]
[822, 1212]
[838, 1231]
[838, 1231]
[856, 1220]
[856, 1220]
[821, 1220]
[821, 1220]
[800, 1201]
[800, 1201]
[845, 1232]
[845, 1232]
[833, 1239]
[833, 1239]
[817, 1210]
[817, 1210]
[811, 1226]
[811, 1226]
[814, 1199]
[814, 1199]
[824, 1201]
[824, 1201]
[833, 1223]
[833, 1223]
[808, 1234]
[808, 1234]
[849, 1207]
[849, 1207]
[865, 1202]
[865, 1202]
[811, 1202]
[811, 1202]
[837, 1221]
[837, 1221]
[819, 1210]
[819, 1210]
[852, 1215]
[852, 1215]
[846, 1199]
[846, 1199]
