[1482, 1980]
[1505, 1723]
[1160, 1590]
[1490, 1965]
[1494, 1621]
[1220, 1569]
[1496, 1953]
[1504, 1725]
[1209, 1575]
[1478, 1944]
[1491, 1617]
[1203, 1573]
[1471, 1940]
[1488, 1713]
[1195, 1583]
[1506, 1950]
[1503, 1603]
[1185, 1576]
[1488, 1956]
[1487, 1722]
[1191, 1570]
[1489, 1958]
[1484, 1629]
[1205, 1587]
[1477, 1935]
[1463, 1725]
[1206, 1587]
[1485, 1965]
[1503, 1589]
[1210, 1574]
[1464, 1928]
[1491, 1738]
[1189, 1575]
[1490, 1938]
[1487, 1600]
[1181, 1560]
[1499, 1946]
[1491, 1693]
[1198, 1581]
[1500, 1975]
[1506, 1586]
[1215, 1569]
[1510, 1940]
[1509, 1723]
[1218, 1574]
[1491, 1955]
[1494, 1622]
[1193, 1571]
[1494, 1958]
[1495, 1700]
[1219, 1585]
[1521, 1929]
[1504, 1583]
[1206, 1550]
[1502, 1927]
[1490, 1688]
[1210, 1590]
[1479, 1937]
[1494, 1612]
[1194, 1591]
[1494, 1966]
[1488, 1704]
[1188, 1577]
[1468, 1977]
[1486, 1617]
[1183, 1578]
[1485, 1963]
[1495, 1730]
[1213, 1569]
[1489, 1939]
[1490, 1593]
[1194, 1560]
[1480, 1943]
[1498, 1728]
[1197, 1582]
[1502, 1954]
[1510, 1633]
[1199, 1578]
[1509, 1954]
[1497, 1700]
[1193, 1598]
[1486, 1980]
[1498, 1625]
[1197, 1589]
[1509, 1953]
[1497, 1711]
[1211, 1574]
[1484, 1937]
[1511, 1622]
[1173, 1600]
[1492, 1958]
[1500, 1728]
[1178, 1586]
[1487, 1932]
[1504, 1586]
[1202, 1584]
[1462, 1956]
[1485, 1736]
[1165, 1558]
[1474, 1931]
[1491, 1596]
[1180, 1582]
[1502, 1990]
[1510, 1700]
[1160, 1587]
[1490, 1956]
[1498, 1576]
[1180, 1564]
[1493, 1958]
[1520, 1689]
[1168, 1565]
[1473, 1954]
[1517, 1576]
[1159, 1559]
[1504, 1966]
[1517, 1701]
[1161, 1563]
[1487, 1965]
[1488, 1599]
[1161, 1553]
[1500, 1959]
[1508, 1709]
[1166, 1577]
[1487, 1947]
[1494, 1613]
[1481, 1600]
[1513, 1970]
[1495, 1604]
[1181, 1558]
[1510, 1956]
[1517, 1734]
[1192, 1582]
[1500, 1952]
[1510, 1593]
[1155, 1565]
[1492, 1941]
[1498, 1699]
[1169, 1576]
[1465, 1879]
[1466, 1885]
[1474, 1935]
[1514, 1980]
[1522, 1595]
[1164, 1570]
[1476, 1955]
[1500, 1732]
[1192, 1578]
[1472, 1964]
[1491, 1608]
[1186, 1591]
[1486, 1966]
[1508, 1742]
[1211, 1572]
[1484, 1964]
[1497, 1598]
[1162, 1564]
[1495, 1939]
[1486, 1716]
[1189, 1578]
[1457, 1972]
[1488, 1612]
[1152, 1587]
[1507, 1947]
[1503, 1739]
[1200, 1578]
[1480, 1959]
[1500, 1603]
[1215, 1572]
[1474, 1925]
[1523, 1726]
[1190, 1573]
[1479, 1939]
[1497, 1608]
[1185, 1563]
[1481, 1978]
[1490, 1749]
[1144, 1579]
[1480, 1946]
[1508, 1625]
[1174, 1579]
[1486, 1970]
[1487, 1692]
[1173, 1569]
[1478, 1937]
[1494, 1589]
[1149, 1558]
[1506, 1949]
[1511, 1713]
[1147, 1579]
[1512, 1952]
[1513, 1609]
[1169, 1557]
[1485, 1942]
[1493, 1725]
[1175, 1566]
[1501, 1952]
[1491, 1582]
[1178, 1591]
[1513, 1946]
[1515, 1714]
[1186, 1595]
[1473, 1971]
[1488, 1605]
[1184, 1598]
[1498, 1943]
[1501, 1714]
[1214, 1567]
[1494, 1960]
[1204, 1561]
[1498, 1923]
[1221, 1550]
[1490, 1952]
[1208, 1562]
[1453, 1978]
[1488, 1729]
[1200, 1573]
[1496, 1938]
[1515, 1595]
[1199, 1577]
[1480, 1950]
[1510, 1738]
[1208, 1572]
[1496, 1951]
[1495, 1588]
[1208, 1569]
[1469, 1950]
[1492, 1726]
[1208, 1581]
[1499, 1969]
[1508, 1609]
[1190, 1576]
[1490, 1961]
[1496, 1738]
[1185, 1576]
[1497, 1980]
[1480, 1575]
[1193, 1566]
[1502, 1966]
[1199, 1576]
[1497, 1961]
[1474, 1606]
[1151, 1588]
[1479, 1963]
[1507, 1732]
[1200, 1531]
[1493, 1931]
[1512, 1607]
[1181, 1550]
