[1482, 1980]
[1490, 1965]
[1496, 1953]
[1478, 1944]
[1471, 1940]
[1506, 1950]
[1488, 1956]
[1489, 1958]
[1477, 1935]
[1485, 1965]
[1464, 1928]
[1490, 1938]
[1499, 1946]
[1500, 1975]
[1510, 1940]
[1491, 1955]
[1494, 1958]
[1521, 1929]
[1502, 1927]
[1479, 1937]
[1494, 1966]
[1468, 1977]
[1485, 1963]
[1489, 1939]
[1480, 1943]
[1502, 1954]
[1509, 1954]
[1486, 1980]
[1509, 1953]
[1484, 1937]
[1492, 1958]
[1487, 1932]
[1462, 1956]
[1474, 1931]
[1502, 1990]
[1490, 1956]
[1493, 1958]
[1473, 1954]
[1504, 1966]
[1487, 1965]
[1500, 1959]
[1487, 1947]
[1513, 1970]
[1510, 1956]
[1500, 1952]
[1492, 1941]
[1474, 1935]
[1514, 1980]
[1476, 1955]
[1472, 1964]
[1486, 1966]
[1484, 1964]
[1495, 1939]
[1457, 1972]
[1507, 1947]
[1480, 1959]
[1474, 1925]
[1479, 1939]
[1481, 1978]
[1480, 1946]
[1486, 1970]
[1478, 1937]
[1506, 1949]
[1512, 1952]
[1485, 1942]
[1501, 1952]
[1513, 1946]
[1473, 1971]
[1498, 1943]
[1494, 1960]
[1498, 1923]
[1490, 1952]
[1453, 1978]
[1496, 1938]
[1480, 1950]
[1496, 1951]
[1469, 1950]
[1499, 1969]
[1490, 1961]
[1497, 1980]
[1502, 1966]
[1497, 1961]
[1479, 1963]
[1493, 1931]
